All Combined Audio Information:
Total combinations generated: 50
===================================
Combination 	Output file 	Source A file 	Source A Env 	Source A Dist(km) 	Source A Depth(m) 	Source B file 	Source B Env 	Source B Dist(km) 	Source B Depth(m)
-----------------------------------
1	 combined_001.wav	 1_0_20.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_2.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
2	 combined_002.wav	 1_0_10.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_9.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
3	 combined_003.wav	 1_0_18.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_4.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
4	 combined_004.wav	 1_0_24.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_12.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
5	 combined_005.wav	 1_0_17.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_11.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
6	 combined_006.wav	 1_0_8.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_14.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
7	 combined_007.wav	 1_0_21.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_5.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
8	 combined_008.wav	 1_0_13.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_5.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
9	 combined_009.wav	 1_0_8.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
10	 combined_010.wav	 1_0_5.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_15.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
11	 combined_011.wav	 1_0_20.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_4.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
12	 combined_012.wav	 1_0_4.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_6.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
13	 combined_013.wav	 1_0_16.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_9.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
14	 combined_014.wav	 1_0_22.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_8.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
15	 combined_015.wav	 1_0_1.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_15.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
16	 combined_016.wav	 1_0_5.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
17	 combined_017.wav	 1_0_24.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_12.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
18	 combined_018.wav	 1_0_8.wav	 Pos1Azi1freq100Hz	 1.00	 10.00	 3_0_7.wav	 Pos1Azi1freq100Hz_1	 0.50	 10.00
